first_name,last_name,email,role,birthday,gender
Liam,Adams,jaredhagemann.test+ladams16@gmail.com,player,2016-01-18,male
Benjamin,Nelson,jaredhagemann.test+bnelson16@gmail.com,player,2016-02-11,male
Elijah,Cook,jaredhagemann.test+ecook16@gmail.com,player,2016-03-27,male
William,Morris,jaredhagemann.test+wmorris16@gmail.com,player,2016-05-05,male
Alexander,Rogers,jaredhagemann.test+arogers16@gmail.com,player,2016-06-22,male
Daniel,Reed,jaredhagemann.test+dreed16@gmail.com,player,2016-07-14,male
Matthew,Bell,jaredhagemann.test+mbell16@gmail.com,player,2016-08-31,male
Jackson,Murphy,jaredhagemann.test+jmurphy16@gmail.com,player,2016-09-09,male
Sebastian,Kelly,jaredhagemann.test+skelly16@gmail.com,player,2016-10-26,male
Samuel,Wood,jaredhagemann.test+swood16@gmail.com,player,2016-12-08,male
Pep,Guardiola,jaredhagemann.test+pep@gmail.com,coach,1979-01-18,male
