first_name,last_name,email,role,birthday,gender
Abigail,Hughes,jaredhagemann.test+ahughes17@gmail.com,player,2017-02-06,female
Ella,Sanders,jaredhagemann.test+esanders17@gmail.com,player,2017-03-22,female
Scarlett,Ross,jaredhagemann.test+sross17@gmail.com,player,2017-04-17,female
Grace,Peterson,jaredhagemann.test+gpeterson17@gmail.com,player,2017-06-03,female
Chloe,Long,jaredhagemann.test+clong17@gmail.com,player,2017-07-26,female
Lily,Powell,jaredhagemann.test+lpowell17@gmail.com,player,2017-08-10,female
Nora,Howard,jaredhagemann.test+nhoward17@gmail.com,player,2017-09-28,female
Zoey,Butler,jaredhagemann.test+zbutler17@gmail.com,player,2017-10-07,female
Riley,Simmons,jaredhagemann.test+rsimmons17@gmail.com,player,2017-11-18,female
Hannah,Bryant,jaredhagemann.test+hbryant17@gmail.com,player,2017-12-01,female
Denise,Reddy,jaredhagemann.test+dreddy-girls2017@gmail.com,coach,1970-09-14,female
